Gender,Membership,Brand,Frequency,Age
Female,Yes,Fitness First,Several times a week,33
Male,Yes,Fitness First,Several times a week,29
Male,Yes,Fitness First,Several times a week,47
Female,Yes,Fitness First,Once/twice a month,43
Male,Yes,Fitness First,Once/twice a month,27
Male,Yes,Fitness First,Once/twice a month,58
Female,Yes,Fitness First,Several times a week,27
Female,Yes,Fitness First,Several times a month,29
Male,Yes,Fitness First,Several times a month,25
Female,Yes,Fitness First,Several times a week,26
Female,Yes,Fitness First,Several times a week,17
Male,Yes,Fitness First,Several times a month,33
Male,Yes,Fitness First,Several times a month,32
Female,Yes,Fitness First,Rarely,51
Male,Yes,Fitness First,Several times a month,17
Male,Yes,Fitness First,Several times a month,32
Female,Yes,Fitness First,Several times a week,41
Male,Yes,Fitness First,Several times a week,27
Female,Yes,Fitness First,Several times a week,28
Male,Yes,Fitness First,Several times a week,38
Male,Yes,Fitness First,Several times a week,27
Female,Yes,Fitness First,Several times a week,64
Female,Yes,Fitness First,Several times a week,21
Female,Yes,Fitness First,Several times a week,46
Male,Yes,Fitness First,Several times a week,22
Female,Yes,Fitness First,Never,61
Female,Yes,Fitness First,Several times a month,35
Male,Yes,Fitness First,Several times a month,42
Male,Yes,Fitness First,Several times a week,32
Female,Yes,Fitness First,Several times a week,43
Female,Yes,Fitness First,Once/twice a month,30
Female,Yes,Fitness First,Rarely,37
Male,Yes,Fitness First,Several times a month,41
Male,Yes,Fitness First,Several times a week,37
Male,Yes,Fitness First,Several times a week,37
Male,Yes,Fitness First,Several times a week,40
Male,Yes,Fitness First,Several times a week,45
Female,Yes,Fitness First,Several times a month,55
Male,Yes,Fitness First,Several times a week,33
Female,Yes,Fitness First,Several times a week,37
Female,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Several times a month,28
Female,Yes,Fitness First,Several times a week,31
Female,Yes,Fitness First,Once/twice a month,31
Male,Yes,Fitness First,Several times a month,43
Female,Yes,Fitness First,Several times a week,32
Male,Yes,Fitness First,Several times a week,44
Female,Yes,Fitness First,Several times a week,54
Female,Yes,Fitness First,Several times a month,27
Male,Yes,Fitness First,Several times a month,51
Male,Yes,Fitness First,Several times a month,38
Male,Yes,Fitness First,Several times a week,18
Female,Yes,Fitness First,Several times a month,26
Female,Yes,Fitness First,Several times a week,44
Female,Yes,Fitness First,Several times a week,22
Male,Yes,Fitness First,Several times a month,37
Male,Yes,Fitness First,Several times a week,29
Female,Yes,Fitness First,Several times a month,26
Male,Yes,Fitness First,Several times a month,36
Female,Yes,Fitness First,Several times a week,42
Female,Yes,Fitness First,Several times a week,26
Male,Yes,Fitness First,Several times a week,30
Female,Yes,Fitness First,Several times a month,29
Male,Yes,Fitness First,Several times a week,36
Male,Yes,Fitness First,Several times a week,25
Male,Yes,Fitness First,Several times a month,18
Male,Yes,Fitness First,Several times a week,17
Female,Yes,Fitness First,Several times a week,30
Male,Yes,Fitness First,Several times a week,31
Female,Yes,Fitness First,Rarely,33
Female,Yes,Fitness First,Once/twice a month,20
Male,Yes,Fitness First,Several times a week,49
Female,Yes,Fitness First,Several times a month,23
Male,Yes,Fitness First,Several times a month,56
Male,Yes,Fitness First,Once/twice a month,46
Male,Yes,Fitness First,Several times a week,31
Male,Yes,Fitness First,Several times a week,33
Male,Yes,Fitness First,Several times a month,32
Female,Yes,Fitness First,Rarely,28
Female,Yes,Fitness First,Several times a week,31
Female,Yes,Fitness First,Several times a month,47
Female,Yes,Fitness First,Several times a month,52
Male,Yes,Fitness First,Several times a week,32
Female,Yes,Fitness First,Several times a month,26
Male,Yes,Fitness First,Several times a week,25
Male,Yes,Fitness First,Several times a week,43
Female,Yes,Fitness First,Several times a month,38
Female,Yes,Fitness First,Several times a week,20
Male,Yes,Fitness First,Several times a week,23
Male,Yes,Fitness First,Several times a month,60
Male,Yes,Fitness First,Several times a week,52
Male,Yes,Fitness First,Several times a week,55
Female,Yes,Fitness First,Once/twice a month,31
Female,Yes,Fitness First,Several times a week,42
Male,Yes,Fitness First,Several times a month,46
Male,Yes,Fitness First,Several times a month,35
Female,Yes,Fitness First,Once/twice a month,31
Female,Yes,Fitness First,Rarely,18
Male,Yes,Fitness First,Several times a week,30
Male,Yes,Fitness First,Several times a week,40
Female,Yes,Fitness First,Several times a week,27
Male,Yes,Fitness First,Never,28
Female,Yes,Fitness First,Several times a month,39
Female,Yes,Fitness First,Several times a month,35
Male,Yes,Fitness First,Several times a month,36
Female,Yes,Fitness First,Once/twice a month,17
Male,Yes,Fitness First,Several times a week,29
Male,Yes,Fitness First,Rarely,25
Male,Yes,Fitness First,Several times a month,30
Female,Yes,Fitness First,Once/twice a month,44
Male,Yes,Fitness First,Several times a week,39
Female,Yes,Fitness First,Several times a month,19
Female,Yes,Fitness First,Once/twice a month,43
Male,Yes,Fitness First,Once/twice a month,53
Female,Yes,Fitness First,Several times a month,58
Female,Yes,Fitness First,Several times a month,27
Male,Yes,Fitness First,Several times a week,32
Male,Yes,Fitness First,Several times a month,36
Female,Yes,Fitness First,Several times a month,40
Male,Yes,Fitness First,Several times a month,51
Male,Yes,Fitness First,Several times a week,30
Female,Yes,Fitness First,Several times a month,19
Female,Yes,Fitness First,Rarely,25
Male,Yes,Fitness First,Several times a month,39
Male,Yes,Fitness First,Several times a week,61
Male,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Several times a week,23
Female,Yes,Fitness First,Rarely,26
Male,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Several times a month,37
Female,Yes,Fitness First,Once/twice a month,32
Female,Yes,Fitness First,Several times a month,37
Female,Yes,Fitness First,Several times a week,32
Male,Yes,Fitness First,Once/twice a month,43
Male,Yes,Fitness First,Several times a month,28
Female,Yes,Fitness First,Several times a week,41
Female,Yes,Fitness First,Several times a month,23
Male,Yes,Fitness First,Several times a month,29
Female,Yes,Fitness First,Several times a week,43
Male,Yes,Fitness First,Several times a month,25
Female,Yes,Fitness First,Several times a week,59
Female,Yes,Fitness First,Several times a week,28
Male,Yes,Fitness First,Several times a month,52
Female,Yes,Fitness First,Once/twice a month,36
Male,Yes,Fitness First,Several times a month,45
Male,Yes,Fitness First,Several times a month,18
Female,Yes,Fitness First,Several times a week,27
Male,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Rarely,47
Male,Yes,Fitness First,Several times a week,32
Female,Yes,Fitness First,Once/twice a month,33
Female,Yes,Fitness First,Several times a month,28
Male,Yes,Fitness First,Several times a week,43
Male,Yes,Fitness First,Several times a week,40
Female,Yes,Fitness First,Several times a month,27
Female,Yes,Fitness First,Several times a week,39
Male,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Several times a week,25
Female,Yes,Fitness First,Once/twice a month,39
Male,Yes,Fitness First,Several times a month,29
Male,Yes,Fitness First,Several times a month,25
Female,Yes,Fitness First,Several times a week,27
Female,Yes,Fitness First,Several times a month,43
Female,Yes,Fitness First,Several times a month,31
Male,Yes,Fitness First,Several times a month,39
Female,Yes,Fitness First,Several times a month,26
Female,Yes,Fitness First,Several times a week,26
Female,Yes,Fitness First,Several times a month,26
Female,Yes,Fitness First,Several times a week,52
Male,Yes,Fitness First,Once/twice a month,40
Female,Yes,Fitness First,Several times a month,28
Male,Yes,Fitness First,Once/twice a month,18
Male,Yes,Fitness First,Several times a month,54
Female,Yes,Fitness First,Several times a week,21
Male,Yes,Fitness First,Once/twice a month,41
Male,Yes,Fitness First,Several times a month,28
Male,Yes,Fitness First,Several times a month,44
Male,Yes,Fitness First,Several times a month,34
Male,Yes,Fitness First,Rarely,22
Female,Yes,Fitness First,Rarely,38
Female,Yes,Fitness First,Rarely,26
Male,Yes,Fitness First,Several times a week,24
Female,Yes,Fitness First,Rarely,29
Male,Yes,Fitness First,Several times a week,21
Male,Yes,Fitness First,Several times a week,33
Female,Yes,Fitness First,Several times a week,46
Male,Yes,Fitness First,Several times a month,32
Female,Yes,Fitness First,Several times a month,28
Male,Yes,Fitness First,Several times a week,29
Male,Yes,Fitness First,Several times a week,37
Male,Yes,Fitness First,Several times a week,58
Female,Yes,Fitness First,Several times a month,46
Male,Yes,Fitness First,Several times a month,27
Female,Yes,Fitness First,Several times a month,27
Female,Yes,Fitness First,Several times a week,33
Male,Yes,Fitness First,Once/twice a month,29
Male,Yes,Fitness First,Several times a week,38
Female,Yes,Fitness First,Several times a week,17
Male,Yes,Fitness First,Several times a month,36
Female,Yes,Fitness First,Several times a month,38
Female,Yes,Fitness First,Several times a month,36
Female,Yes,Fitness First,Several times a month,37
Male,Yes,Fitness First,Several times a week,29
Female,Yes,Fitness First,Several times a month,38
Female,Yes,Fitness First,Several times a week,38
Female,Yes,Fitness First,Several times a month,40
Female,Yes,Fitness First,Once/twice a month,16
Female,Yes,Fitness First,Several times a month,34
Male,Yes,Fitness First,Several times a week,26
Female,Yes,Fitness First,Several times a week,43
Male,Yes,Fitness First,Several times a month,31
Male,Yes,Fitness First,Several times a week,29
Male,Yes,Fitness First,Several times a month,41
Female,Yes,Fitness First,Several times a week,36
Female,Yes,Fitness First,Once/twice a month,58
Male,Yes,Fitness First,Once/twice a month,58
Female,Yes,Fitness First,Once/twice a month,50
Female,Yes,Fitness First,Several times a week,32
Female,Yes,Fitness First,Several times a month,34
Male,Yes,Fitness First,Several times a month,46
Male,Yes,Fitness First,Several times a week,31
Female,Yes,Fitness First,Several times a week,42
Female,Yes,Fitness First,Several times a week,25
Female,Yes,Fitness First,Several times a month,30
Female,Yes,Fitness First,Once/twice a month,29
Male,Yes,Fitness First,Once/twice a month,53
Male,Yes,Fitness First,Several times a week,30
Female,Yes,Fitness First,Several times a week,38
Male,Yes,Fitness First,Several times a week,29
Male,Yes,Fitness First,Several times a month,28
Male,Yes,Fitness First,Several times a month,65
Male,Yes,Fitness First,Several times a month,21
Female,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Once/twice a month,32
Female,Yes,Fitness First,Several times a month,41
Male,Yes,Fitness First,Several times a week,63
Female,Yes,Fitness First,Several times a week,27
Male,Yes,Fitness First,Several times a month,38
Female,Yes,Fitness First,Rarely,42
Male,Yes,Fitness First,Several times a month,21
Male,Yes,Fitness First,Several times a month,47
Male,Yes,Fitness First,Several times a week,44
Male,Yes,Fitness First,Several times a month,28
Female,Yes,Fitness First,Once/twice a month,60
Female,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Several times a month,23
Female,Yes,Fitness First,Several times a month,41
Female,Yes,Fitness First,Several times a month,17
Female,Yes,Fitness First,Once/twice a month,38
Male,Yes,Fitness First,Several times a month,30
Male,Yes,Fitness First,Rarely,60
Male,Yes,Fitness First,Several times a week,31
Female,Yes,Fitness First,Several times a month,23
Female,Yes,Fitness First,Once/twice a month,59
Male,Yes,Fitness First,Several times a month,39
Female,Yes,Fitness First,Several times a month,25
Female,Yes,Fitness First,Once/twice a month,31
Male,Yes,Fitness First,Once/twice a month,62
Female,Yes,Fitness First,Several times a week,23
Female,Yes,Fitness First,Several times a month,33
Female,Yes,Fitness First,Rarely,35
Female,Yes,Fitness First,Several times a week,32
Female,Yes,Fitness First,Several times a week,32
Female,Yes,Fitness First,Several times a week,48
Male,Yes,Fitness First,Several times a week,29
Male,Yes,Fitness First,Several times a week,37
Male,Yes,Fitness First,Several times a month,61
Male,Yes,Fitness First,Never,17
Male,Yes,Fitness First,Rarely,47
Male,Yes,Fitness First,Several times a week,36
Female,Yes,Fitness First,Several times a week,29
Male,Yes,Fitness First,Once/twice a month,41
Female,Yes,Fitness First,Several times a month,39
Female,Yes,Fitness First,Several times a month,32
Female,Yes,Fitness First,Several times a month,41
Female,Yes,Fitness First,Several times a week,32
Female,Yes,Fitness First,Several times a month,41
Female,Yes,Fitness First,Several times a week,64
Male,Yes,Fitness First,Several times a week,52
Male,Yes,Fitness First,Several times a week,29
Female,Yes,Fitness First,Once/twice a month,31
Female,Yes,Fitness First,Several times a month,40
Female,Yes,Fitness First,Several times a week,58
Male,Yes,Fitness First,Several times a month,46
Male,Yes,Fitness First,Several times a month,42
Female,Yes,Fitness First,Rarely,32
Male,Yes,Fitness First,Several times a month,37
Female,Yes,Fitness First,Several times a week,33
Female,Yes,Fitness First,Several times a month,28
Female,Yes,Fitness First,Once/twice a month,51
Male,Yes,Fitness First,Several times a month,22
Male,Yes,Fitness First,Several times a month,33
Female,Yes,Fitness First,Several times a month,36
Male,Yes,Fitness First,Several times a week,47
Male,Yes,Fitness First,Once/twice a month,21
Female,Yes,Fitness First,Several times a month,48
Female,Yes,Fitness First,Rarely,61
Female,Yes,Fitness First,Once/twice a month,51
Female,Yes,Fitness First,Several times a week,35
Female,Yes,Fitness First,Several times a week,50
Female,Yes,Fitness First,Several times a month,20
Male,Yes,Fitness First,Several times a week,28
Male,Yes,Fitness First,Several times a week,29
Female,Yes,Fitness First,Several times a week,37
Male,Yes,Fitness First,Several times a week,28
Male,Yes,Fitness First,Never,46
Female,Yes,Fitness First,Rarely,20
Male,Yes,Fitness First,Several times a week,22
Male,Yes,Fitness First,Several times a month,42
Male,Yes,Fitness First,Several times a week,27
Male,Yes,Fitness First,Several times a month,30
Male,Yes,Fitness First,Several times a month,27
Female,Yes,Fitness First,Once/twice a month,28
Female,Yes,Fitness First,Several times a month,19
Male,Yes,Fitness First,Several times a month,33
Male,Yes,Fitness First,Once/twice a month,36
Female,Yes,Fitness First,Several times a week,45
Female,Yes,Fitness First,Several times a week,16
Male,Yes,Fitness First,Several times a week,27
Female,Yes,Fitness First,Rarely,44
Male,Yes,Fitness First,Several times a week,25
Female,Yes,Fitness First,Several times a month,26
Male,Yes,Fitness First,Several times a week,40
Male,Yes,Fitness First,Several times a week,29
Male,Yes,Fitness First,Several times a month,34
Male,Yes,Fitness First,Once/twice a month,29
Male,Yes,ActiveSG,Several times a week,60
Female,Yes,ActiveSG,Several times a month,16
Male,Yes,ActiveSG,Several times a month,45
Male,Yes,ActiveSG,Several times a month,61
Female,Yes,ActiveSG,Several times a month,30
Female,Yes,ActiveSG,Never,18
Male,Yes,ActiveSG,Rarely,50
Male,Yes,ActiveSG,Several times a month,34
Female,Yes,ActiveSG,Several times a week,33
Male,Yes,ActiveSG,Several times a month,59
Female,Yes,ActiveSG,Several times a week,64
Female,Yes,ActiveSG,Several times a month,41
Female,Yes,ActiveSG,Several times a week,36
Male,Yes,ActiveSG,Several times a week,26
Male,Yes,ActiveSG,Several times a week,42
Female,Yes,ActiveSG,Several times a month,30
Female,Yes,ActiveSG,Several times a month,22
Male,Yes,ActiveSG,Several times a week,27
Male,Yes,ActiveSG,Several times a week,33
Male,Yes,ActiveSG,Once/twice a month,43
Male,Yes,ActiveSG,Rarely,32
Male,Yes,ActiveSG,Several times a month,63
Female,Yes,ActiveSG,Several times a month,40
Female,Yes,ActiveSG,Several times a month,26
Male,Yes,ActiveSG,Once/twice a month,61
Female,Yes,ActiveSG,Several times a month,31
Male,Yes,ActiveSG,Several times a week,26
Female,Yes,ActiveSG,Several times a month,37
Male,Yes,ActiveSG,Several times a month,29
Female,Yes,ActiveSG,Several times a month,48
Male,Yes,ActiveSG,Several times a month,31
Male,Yes,ActiveSG,Several times a month,41
Female,Yes,ActiveSG,Several times a week,50
Female,Yes,ActiveSG,Several times a month,21
Female,Yes,ActiveSG,Several times a week,44
Female,Yes,ActiveSG,Rarely,33
Male,Yes,ActiveSG,Several times a week,56
Female,Yes,ActiveSG,Several times a week,28
Female,Yes,ActiveSG,Rarely,29
Female,Yes,ActiveSG,Several times a week,39
Male,Yes,ActiveSG,Several times a month,32
Female,Yes,ActiveSG,Several times a week,63
Female,Yes,ActiveSG,Several times a week,27
Female,Yes,ActiveSG,Several times a week,26
Male,Yes,ActiveSG,Several times a week,49
Male,Yes,ActiveSG,Once/twice a month,43
Male,Yes,ActiveSG,Several times a week,26
Male,Yes,ActiveSG,Several times a month,20
Female,Yes,ActiveSG,Several times a week,50
Female,Yes,ActiveSG,Several times a week,28
Male,Yes,ActiveSG,Several times a week,41
Male,Yes,ActiveSG,Several times a month,33
Female,Yes,ActiveSG,Several times a month,21
Female,Yes,ActiveSG,Rarely,28
Male,Yes,ActiveSG,Several times a month,37
Female,Yes,ActiveSG,Several times a week,20
Male,Yes,ActiveSG,Several times a week,28
Female,Yes,ActiveSG,Several times a month,30
Male,Yes,ActiveSG,Several times a month,41
Male,Yes,ActiveSG,Once/twice a month,56
Female,Yes,ActiveSG,Several times a week,34
Male,Yes,ActiveSG,Several times a week,50
Female,Yes,ActiveSG,Once/twice a month,41
Female,Yes,ActiveSG,Rarely,16
Female,Yes,ActiveSG,Several times a week,31
Female,Yes,ActiveSG,Several times a week,26
Male,Yes,ActiveSG,Several times a month,33
Male,Yes,ActiveSG,Several times a week,29
Male,Yes,ActiveSG,Several times a month,42
Female,Yes,ActiveSG,Several times a month,31
Male,Yes,ActiveSG,Once/twice a month,32
Male,Yes,ActiveSG,Several times a week,40
Female,Yes,ActiveSG,Several times a week,42
Female,Yes,ActiveSG,Several times a month,30
Female,Yes,ActiveSG,Several times a week,26
Male,Yes,ActiveSG,Once/twice a month,47
Male,Yes,ActiveSG,Several times a week,27
Male,Yes,ActiveSG,Never,50
Male,Yes,ActiveSG,Rarely,31
Female,Yes,ActiveSG,Several times a week,53
Female,Yes,ActiveSG,Several times a month,23
Male,Yes,ActiveSG,Several times a week,29
Female,Yes,ActiveSG,Several times a week,49
Female,Yes,ActiveSG,Several times a month,29
Female,Yes,ActiveSG,Several times a month,28
Male,Yes,ActiveSG,Several times a month,26
Male,Yes,ActiveSG,Several times a week,17
Female,Yes,ActiveSG,Several times a month,31
Male,Yes,ActiveSG,Several times a week,24
Female,Yes,ActiveSG,Several times a week,40
Male,Yes,ActiveSG,Several times a week,30
Male,Yes,ActiveSG,Several times a month,28
Female,Yes,ActiveSG,Several times a week,33
Male,Yes,ActiveSG,Several times a week,40
Female,Yes,ActiveSG,Several times a month,28
Male,Yes,ActiveSG,Several times a week,36
Female,Yes,ActiveSG,Once/twice a month,31
Female,Yes,ActiveSG,Several times a month,34
Male,Yes,ActiveSG,Several times a week,45
Female,Yes,ActiveSG,Once/twice a month,28
Female,Yes,ActiveSG,Several times a week,56
Male,Yes,ActiveSG,Several times a week,41
Male,Yes,ActiveSG,Several times a week,41
Female,Yes,ActiveSG,Several times a week,22
Male,Yes,ActiveSG,Several times a week,55
Male,Yes,ActiveSG,Several times a week,27
Female,Yes,ActiveSG,Several times a month,33
Male,Yes,ActiveSG,Several times a week,39
Male,Yes,ActiveSG,Several times a week,32
Female,Yes,ActiveSG,Several times a month,47
Male,Yes,ActiveSG,Several times a month,43
Female,Yes,ActiveSG,Several times a week,39
Female,Yes,ActiveSG,Several times a month,30
Male,Yes,ActiveSG,Several times a week,29
Male,Yes,ActiveSG,Several times a month,34
Female,Yes,ActiveSG,Several times a week,27
Female,Yes,ActiveSG,Rarely,19
Male,Yes,ActiveSG,Several times a week,31
Female,Yes,ActiveSG,Several times a month,62
Female,Yes,ActiveSG,Rarely,32
Male,Yes,ActiveSG,Several times a week,32
Male,Yes,ActiveSG,Several times a month,26
Male,Yes,ActiveSG,Several times a month,38
Female,Yes,ActiveSG,Several times a week,38
Female,Yes,ActiveSG,Several times a month,29
Male,Yes,ActiveSG,Rarely,23
Male,Yes,ActiveSG,Several times a month,34
Male,Yes,ActiveSG,Several times a month,26
Male,Yes,ActiveSG,Several times a week,54
Male,Yes,ActiveSG,Several times a week,26
Female,Yes,ActiveSG,Several times a month,23
Female,Yes,ActiveSG,Several times a month,63
Male,Yes,ActiveSG,Several times a month,55
Male,Yes,ActiveSG,Several times a month,58
Male,Yes,ActiveSG,Several times a month,20
Female,Yes,ActiveSG,Several times a week,27
Female,Yes,ActiveSG,Several times a week,33
Female,Yes,ActiveSG,Several times a month,21
Female,Yes,ActiveSG,Several times a week,28
Male,Yes,ActiveSG,Once/twice a month,18
Male,Yes,ActiveSG,Several times a month,17
Male,Yes,ActiveSG,Several times a month,38
Female,Yes,ActiveSG,Several times a week,34
Male,Yes,ActiveSG,Rarely,52
Male,Yes,ActiveSG,Once/twice a month,21
Female,Yes,ActiveSG,Several times a week,21
Female,Yes,ActiveSG,Several times a month,39
Female,Yes,ActiveSG,Several times a month,29
Male,Yes,ActiveSG,Several times a week,26
Male,Yes,ActiveSG,Several times a week,26
Male,Yes,ActiveSG,Several times a week,33
Female,Yes,ActiveSG,Several times a week,60
Female,Yes,ActiveSG,Several times a week,41
Female,Yes,ActiveSG,Several times a month,26
Male,Yes,ActiveSG,Several times a week,31
Male,Yes,ActiveSG,Several times a month,18
Male,Yes,ActiveSG,Several times a week,37
Male,Yes,ActiveSG,Several times a week,39
Female,Yes,ActiveSG,Once/twice a month,28
Female,Yes,ActiveSG,Several times a week,26
Male,Yes,ActiveSG,Never,31
Female,Yes,ActiveSG,Rarely,20
Female,Yes,ActiveSG,Rarely,20
Male,Yes,ActiveSG,Several times a month,27
Female,Yes,ActiveSG,Several times a month,60
Male,Yes,ActiveSG,Several times a week,59
Male,Yes,ActiveSG,Once/twice a month,33
Female,Yes,ActiveSG,Several times a week,21
Female,Yes,ActiveSG,Once/twice a month,53
Male,Yes,ActiveSG,Several times a week,43
Male,Yes,ActiveSG,Several times a week,54
Male,Yes,ActiveSG,Several times a month,37
Male,Yes,ActiveSG,Several times a week,26
Female,Yes,ActiveSG,Several times a month,38
Female,Yes,ActiveSG,Rarely,31
Male,Yes,ActiveSG,Several times a week,26
Male,Yes,ActiveSG,Several times a week,41
Male,Yes,ActiveSG,Several times a week,33
Male,Yes,ActiveSG,Several times a week,57
Female,Yes,ActiveSG,Once/twice a month,29
Male,Yes,ActiveSG,Several times a month,40
Female,Yes,ActiveSG,Several times a week,19
Female,Yes,ActiveSG,Several times a week,53
Male,Yes,ActiveSG,Several times a month,53
Male,Yes,ActiveSG,Several times a month,28
Female,Yes,ActiveSG,Several times a week,28
Male,Yes,ActiveSG,Several times a week,42
Male,Yes,ActiveSG,Several times a week,44
Female,Yes,ActiveSG,Several times a week,44
Male,Yes,ActiveSG,Several times a week,23
Female,Yes,ActiveSG,Several times a month,27
Female,Yes,ActiveSG,Rarely,30
Male,Yes,ActiveSG,Several times a month,54
Male,Yes,ActiveSG,Several times a month,19
Female,Yes,ActiveSG,Several times a month,50
Male,Yes,ActiveSG,Several times a week,32
Male,Yes,ActiveSG,Several times a week,37
Male,Yes,Anytime Fitness,Once/twice a month,39
Female,Yes,Anytime Fitness,Rarely,29
Male,Yes,Anytime Fitness,Several times a week,27
Female,Yes,Anytime Fitness,Several times a month,44
Male,Yes,Anytime Fitness,Several times a month,37
Male,Yes,Anytime Fitness,Several times a week,31
Male,Yes,Anytime Fitness,Several times a week,22
Male,Yes,Anytime Fitness,Several times a week,23
Female,Yes,Anytime Fitness,Once/twice a month,32
Female,Yes,Anytime Fitness,Several times a month,19
Female,Yes,Anytime Fitness,Several times a week,28
Female,Yes,Anytime Fitness,Several times a week,30
Female,Yes,Anytime Fitness,Several times a week,27
Female,Yes,Anytime Fitness,Never,59
Female,Yes,Anytime Fitness,Once/twice a month,27
Female,Yes,Anytime Fitness,Several times a month,29
Female,Yes,Anytime Fitness,Rarely,20
Female,Yes,Anytime Fitness,Rarely,32
Female,Yes,Anytime Fitness,Several times a week,29
Male,Yes,Anytime Fitness,Rarely,62
Male,Yes,Anytime Fitness,Several times a week,43
Female,Yes,Anytime Fitness,Several times a week,36
Female,Yes,Anytime Fitness,Several times a month,32
Male,Yes,Anytime Fitness,Several times a month,26
Male,Yes,Anytime Fitness,Several times a week,25
Female,Yes,Anytime Fitness,Several times a week,33
Female,Yes,Anytime Fitness,Several times a week,31
Female,Yes,Anytime Fitness,Several times a month,27
Female,Yes,Anytime Fitness,Once/twice a month,17
Female,Yes,Anytime Fitness,Several times a week,29
Female,Yes,Anytime Fitness,Several times a week,18
Female,Yes,Anytime Fitness,Several times a week,29
Male,Yes,Anytime Fitness,Several times a week,43
Female,Yes,Anytime Fitness,Several times a week,35
Female,Yes,Anytime Fitness,Several times a week,39
Male,Yes,Anytime Fitness,Several times a week,34
Female,Yes,Anytime Fitness,Several times a month,29
Female,Yes,Anytime Fitness,Several times a week,34
Male,Yes,Anytime Fitness,Several times a week,22
Female,Yes,Anytime Fitness,Several times a month,31
Female,Yes,Anytime Fitness,Several times a week,43
Male,Yes,Anytime Fitness,Several times a week,26
Female,Yes,Anytime Fitness,Several times a month,33
Female,Yes,Anytime Fitness,Several times a week,39
Male,Yes,Anytime Fitness,Several times a week,34
Female,Yes,Anytime Fitness,Several times a month,38
Male,Yes,Anytime Fitness,Several times a week,31
Female,Yes,Anytime Fitness,Several times a week,34
Male,Yes,Anytime Fitness,Several times a month,61
Male,Yes,Anytime Fitness,Once/twice a month,21
Female,Yes,Anytime Fitness,Once/twice a month,33
Male,Yes,Anytime Fitness,Several times a month,41
Female,Yes,Anytime Fitness,Several times a week,32
Female,Yes,Anytime Fitness,Several times a week,26
Male,Yes,Anytime Fitness,Several times a week,26
Female,Yes,Anytime Fitness,Several times a month,29
Male,Yes,Anytime Fitness,Several times a month,32
Male,Yes,Anytime Fitness,Several times a month,38
Female,Yes,Anytime Fitness,Several times a month,28
Female,Yes,Anytime Fitness,Once/twice a month,36
Male,Yes,Anytime Fitness,Several times a month,31
Male,Yes,Anytime Fitness,Several times a week,34
Female,Yes,Anytime Fitness,Several times a month,17
Female,Yes,Anytime Fitness,Several times a week,36
Male,Yes,Anytime Fitness,Several times a month,33
